"title","id","addr","cate.major","cate.minor","avg.cost","url"
"醇樸小鎮 SIMPLE TOWN","978872","新北市三重區新北大道ㄧ段46巷12號","早餐","其他類型早餐",150,"http://www.ipeen.com.tw/shop/978872-醇樸小鎮-SIMPLE-TOWN"
"性格<U+305B><U+3044><U+304B><U+304F> 早午餐","981402","台南市北區成功路68巷4-5號","早餐","西式早餐",154,"http://www.ipeen.com.tw/shop/981402-性格<U+305B><U+3044><U+304B><U+304F>-早午餐"
"小王子一號店(中山店)","141153","新北市板橋區中山路二段505巷5號","早餐","其他類型早餐",88,"http://www.ipeen.com.tw/shop/141153-小王子一號店-中山店"
"三悟棧咖啡旅店","956216","高雄市三民區錦田路173號","早餐","西式早餐",266,"http://www.ipeen.com.tw/shop/956216-三悟棧咖啡旅店"
"W Kitchen","1031390","高雄市鼓山區美術北三路66號","早餐","西式早餐",400,"http://www.ipeen.com.tw/shop/1031390-W-Kitchen"
"天味早餐咖啡道","955886","台中市西區健行路1020號1F","早餐","其他類型早餐",69,"http://www.ipeen.com.tw/shop/955886-天味早餐咖啡道"
"Right Caf'e X 對了 出發","1051132","台中市西區五權西四街13巷14號","早餐","早午餐",252,"http://www.ipeen.com.tw/shop/1051132-Right-Caf-e-X-對了-出發"
"斗南炸饅頭","629680","雲林縣斗南鎮中正路117號","早餐","中式早餐",50,"http://www.ipeen.com.tw/shop/629680-斗南炸饅頭"
"桔梗三明治","1101431","台北市大安區信義路三段150-2號1樓","早餐","西式早餐",387,"http://www.ipeen.com.tw/shop/1101431-桔梗三明治"
"雨田+","1111121","新北市新店區德正街22號","早餐","其他類型早餐",285,"http://www.ipeen.com.tw/shop/1111121-雨田"
"天津苟不理湯包","77021","台中市東區信義街63號","早餐","中式早餐",51,"http://www.ipeen.com.tw/shop/77021-天津苟不理湯包"
"Betterman Pizza x Coffee(元：Companio 手作食事)","619148","高雄市新興區民生一路265號","早餐","西式早餐",301,"http://www.ipeen.com.tw/shop/619148-Betterman-Pizza-x-Coffee-元-Companio-手作食事"
"小廚房 Kitchenette CAFE(板橋店)","929568","新北市板橋區長安街275號","早餐","西式早餐",193,"http://www.ipeen.com.tw/shop/929568-小廚房-Kitchenette-CAFE-板橋店"
"土司吐司","1065732","台北市中正區汀州路三段160巷4-3號","早餐","西式早餐",71,"http://www.ipeen.com.tw/shop/1065732-土司吐司"
"阿公阿婆蛋餅","596180","台南市東區小東路198巷10號","早餐","中式早餐",38,"http://www.ipeen.com.tw/shop/596180-阿公阿婆蛋餅"
"花姐廚房","996264","新北市板橋區文化路一段387巷7號","早餐","其他類型早餐",176,"http://www.ipeen.com.tw/shop/996264-花姐廚房"
"李氏商行Lee & daughters","621248","高雄市前鎮區二聖二路133號","早餐","西式早餐",269,"http://www.ipeen.com.tw/shop/621248-李氏商行Lee-daughters"
"早吧Morning Bar","1073358","台北市士林區美崙街32號","早餐","西式早餐",99,"http://www.ipeen.com.tw/shop/1073358-早吧Morning-Bar"
"阿姐的店碳烤三明治","995042","台北市中正區八德路一段82巷9弄10號","早餐","其他類型早餐",93,"http://www.ipeen.com.tw/shop/995042-阿姐的店碳烤三明治"
"石牌早餐店","59395","台北市北投區實踐街48巷7號","早餐","中式早餐",59,"http://www.ipeen.com.tw/shop/59395-石牌早餐店"
"樂禾田","1019804","台南市安平區安平路50號","早餐","其他類型早餐",242,"http://www.ipeen.com.tw/shop/1019804-樂禾田"
"多一點咖啡館 A Little More(美術館)","973036","高雄市鼓山區美術館路85號","早餐","西式早餐",287,"http://www.ipeen.com.tw/shop/973036-多一點咖啡館-A-Little-More-美術館"
"棻園 Caf'e No.2","598768","台南市安平區府前四街118號","早餐","西式早餐",195,"http://www.ipeen.com.tw/shop/598768-棻園-Caf-e-No-2"
"白暮蛋餅先生","1012574","台北市松山區敦化北路244巷39號","早餐","中式早餐",100,"http://www.ipeen.com.tw/shop/1012574-白暮蛋餅先生"
"Ona.Rina Icing 歐娜。瑞娜 早午餐","1130456","新北市板橋區文化路二段125巷11號","早餐","早午餐",200,"http://www.ipeen.com.tw/shop/1130456-Ona-Rina-Icing-歐娜。瑞娜-早午餐"
"Vicking's cafe 維京女王","1063668","新北市板橋區貴興路117號","早餐","西式早餐",237,"http://www.ipeen.com.tw/shop/1063668-Vicking-s-cafe-維京女王"
"Sunny Bagel 太陽貝果","1014496","台中市北區五常街45號","早餐","西式早餐",115,"http://www.ipeen.com.tw/shop/1014496-Sunny-Bagel-太陽貝果"
"皇室吉利堡(溪尾店)","937406","新北市三重區溪尾街107號","早餐","西式早餐",101,"http://www.ipeen.com.tw/shop/937406-皇室吉利堡-溪尾店"
"0628全日早午餐店","151471","台南市中西區開山路41號","早餐","西式早餐",225,"http://www.ipeen.com.tw/shop/151471-0628全日早午餐店"
"巫比HOUSE甜點屋","961094","台南市中西區西門路一段700號","早餐","西式早餐",155,"http://www.ipeen.com.tw/shop/961094-巫比HOUSE甜點屋"
"濰克早午餐 Wake Up Brunch","98513","高雄市三民區建興路104號","早餐","西式早餐",109,"http://www.ipeen.com.tw/shop/98513-濰克早午餐-Wake-Up-Brunch"
"田樂三店 學院店","973256","台中市北區健行路425巷3號","早餐","西式早餐",285,"http://www.ipeen.com.tw/shop/973256-田樂三店-學院店"
"無名早餐店","116950","新竹市東區學府路112號","早餐","中式早餐",57,"http://www.ipeen.com.tw/shop/116950-無名早餐店"
"Vicking's cafe 維京女王","1063668","新北市板橋區貴興路117號","早餐","西式早餐",237,"http://www.ipeen.com.tw/shop/1063668-Vicking-s-cafe-維京女王"
"橘象泰早安","585907","台北市信義區忠孝東路五段485號","早餐","其他類型早餐",99,"http://www.ipeen.com.tw/shop/585907-橘象泰早安"
"Happy J House 快樂爵士屋","1021144","高雄市鼓山區富農路82號","早餐","西式早餐",384,"http://www.ipeen.com.tw/shop/1021144-Happy-J-House-快樂爵士屋"
"MinouMinou Cafe","965338","台北市中正區羅斯福路四段138號2樓","早餐","西式早餐",292,"http://www.ipeen.com.tw/shop/965338-MinouMinou-Cafe"
"拾陌 Shihmo","1022094","台中市西屯區櫻城五街5號","早餐","西式早餐",275,"http://www.ipeen.com.tw/shop/1022094-拾陌-Shihmo"
"Two Puppies寵物友善餐廳","1124228","台中市西區民權路213巷7-5號","早餐","早午餐",0,"http://www.ipeen.com.tw/shop/1124228-Two-Puppies寵物友善餐廳"
"朝日吐司部","987520","宜蘭縣羅東鎮中華路29-5號","早餐","其他類型早餐",96,"http://www.ipeen.com.tw/shop/987520-朝日吐司部"
"好好Kaffe","979116","宜蘭縣羅東鎮成功街32號","早餐","西式早餐",290,"http://www.ipeen.com.tw/shop/979116-好好Kaffe"
"蔥品香 烘烤蔥油餅","1210649","台北市中山區農安街8-6號","早餐","早午餐",0,"http://www.ipeen.com.tw/shop/1210649-蔥品香-烘烤蔥油餅"
"牆角Corner Walls","1067078","新北市新莊區中平路270巷7弄54號","早餐","早午餐",145,"http://www.ipeen.com.tw/shop/1067078-牆角Corner-Walls"
"癈墟早午餐Fresh Brunch","943216","新北市中和區民有街49號","早餐","西式早餐",193,"http://www.ipeen.com.tw/shop/943216-癈墟早午餐Fresh-Brunch"
"哈利速食","115767","台南市中西區中正路138巷8號","早餐","西式早餐",50,"http://www.ipeen.com.tw/shop/115767-哈利速食"
"隔壁咖啡 Next Door Cafe","978058","台中市西區華美街422號","早餐","西式早餐",249,"http://www.ipeen.com.tw/shop/978058-隔壁咖啡-Next-Door-Cafe"
"小晴空","1024178","新北市板橋區文化路2段225巷72弄70號","早餐","其他類型早餐",100,"http://www.ipeen.com.tw/shop/1024178-小晴空"
"可可芭蕾","967394","台北市中山區中山北路2段96巷36號","早餐","中式早餐",222,"http://www.ipeen.com.tw/shop/967394-可可芭蕾"
"早伴早餐","1059288","台中市西區五權一街104號","早餐","西式早餐",200,"http://www.ipeen.com.tw/shop/1059288-早伴早餐"
"泡卡芙 Puff Cafe'","952468","台南市中西區正興街12號","早餐","西式早餐",220,"http://www.ipeen.com.tw/shop/952468-泡卡芙-Puff-Cafe"
"滿美吐司部","939762","新竹市北區北門街208號","早餐","中式早餐",60,"http://www.ipeen.com.tw/shop/939762-滿美吐司部"
"花嘴廚房","628686","台北市萬華區昆明街214-1號","早餐","西式早餐",121,"http://www.ipeen.com.tw/shop/628686-花嘴廚房"
"Bodis 手作 三明治 咖啡 設計","984686","高雄市苓雅區苓雅一路240號","早餐","西式早餐",122,"http://www.ipeen.com.tw/shop/984686-Bodis-手作-三明治-咖啡-設計"
"熊巴土司","634838","高雄市苓雅區同慶路106號","早餐","其他類型早餐",176,"http://www.ipeen.com.tw/shop/634838-熊巴土司"
"碳之家碳烤三明治","964816","新北市永和區得和路2號","早餐","其他類型早餐",76,"http://www.ipeen.com.tw/shop/964816-碳之家碳烤三明治"
"Yoni Cafe 約尼咖啡","1006156","高雄市鼓山區大順一路939號","早餐","西式早餐",310,"http://www.ipeen.com.tw/shop/1006156-Yoni-Cafe-約尼咖啡"
"花嘿噴 breakfast & brunch","969404","新北市板橋區文德路41號","早餐","西式早餐",107,"http://www.ipeen.com.tw/shop/969404-花嘿噴-breakfast-brunch"
"漿餅屋豆漿","1217522","新北市中和區秀朗路三段128巷1弄2號","早餐","中式早餐",0,"http://www.ipeen.com.tw/shop/1217522-漿餅屋豆漿"
"點匠輕鬆小品","1077420","台中市北區英才路389號1樓","早餐","其他類型早餐",0,"http://www.ipeen.com.tw/shop/1077420-點匠輕鬆小品"
"日光徐徐(台南永華店)","1034908","台南市安平區永華三街73號","早餐","西式早餐",0,"http://www.ipeen.com.tw/shop/1034908-日光徐徐-台南永華店"
"湯姆嗑吐司","1050472","台南市中西區海安路二段98號","早餐","早午餐",56,"http://www.ipeen.com.tw/shop/1050472-湯姆嗑吐司"
"迪波波藝食館","926494","高雄市前金區光復三街206號","早餐","西式早餐",227,"http://www.ipeen.com.tw/shop/926494-迪波波藝食館"
"芝麻掉了手作燒餅舖","964646","台中市西屯區大墩路923號","早餐","中式早餐",53,"http://www.ipeen.com.tw/shop/964646-芝麻掉了手作燒餅舖"
"日光緩緩(夏林店)","928750","台南市中西區夏林路118號","早餐","西式早餐",250,"http://www.ipeen.com.tw/shop/928750-日光緩緩-夏林店"
"豐滿早午餐","1028224","新北市永和區仁愛路244-1號","早餐","早午餐",162,"http://www.ipeen.com.tw/shop/1028224-豐滿早午餐"
"日日利海盜飯團(創始店)","27658","台中市北區三民路三段136-6號","早餐","中式早餐",58,"http://www.ipeen.com.tw/shop/27658-日日利海盜飯團-創始店"
"肚房DoFun(公正1<U+53F7>店)","1055426","台中市西區公正路196號","早餐","西式早餐",274,"http://www.ipeen.com.tw/shop/1055426-肚房DoFun-公正1<U+53F7>店"
"橘子早餐","39206","屏東縣恆春鎮南灣路372號","早餐","其他類型早餐",69,"http://www.ipeen.com.tw/shop/39206-橘子早餐"
"多一點咖啡館 A Little More(台南美學館)","1035050","台南市中西區府前路二段283號","早餐","其他類型早餐",294,"http://www.ipeen.com.tw/shop/1035050-多一點咖啡館-A-Little-More-台南美學館"
"Ki's 27 早午餐","973858","高雄市左營區太華街30號","早餐","中式早餐",307,"http://www.ipeen.com.tw/shop/973858-Ki-s-27-早午餐"
"VEG OUT耍廢空間早午餐","1116584","新北市蘆洲區光榮路34號","早餐","早午餐",234,"http://www.ipeen.com.tw/shop/1116584-VEG-OUT耍廢空間早午餐"
"餓店碳烤吐司","1072344","新北市三重區長壽街132號","早餐","西式早餐",169,"http://www.ipeen.com.tw/shop/1072344-餓店碳烤吐司"
"拉亞漢堡(楊梅總店)","70305","桃園市楊梅區中山北路二段78號","早餐","西式早餐",73,"http://www.ipeen.com.tw/shop/70305-拉亞漢堡-楊梅總店"
